created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
08/10/2015,133750,214291,"{'type': 'Point', 'coordinates': [-73.92809354040915, 40.634408471249486]}",4,0,OnCurb,Alive,Fair,Quercus bicolor,swamp white oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,5018 KINGS HIGHWAY,11234,Brooklyn,318,3,Brooklyn,46,41,21,BK58,Flatlands,3072400,New York,40.63440847,-73.92809354,1004207.89675,170416.681198
08/24/2015,172058,348769,"{'type': 'Point', 'coordinates': [-73.83980527866572, 40.72403950498265]}",4,0,OnCurb,Alive,Good,Chionanthus retusus,Chinese fringetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,70-05 112 STREET,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4075702,New York,40.72403951,-73.83980528,1028652.88329,203104.260508
08/26/2015,175959,230915,"{'type': 'Point', 'coordinates': [-73.9602335381335, 40.65189344201852]}",3,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,113 EAST 21 STREET,11226,Brooklyn,314,3,Brooklyn,40,42,21,BK42,Flatbush,3050801,New York,40.65189344,-73.96023354,995284.433628,176781.245897
08/29/2015,184715,505565,"{'type': 'Point', 'coordinates': [-73.89013512490963, 40.856635415662495]}",4,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,2385 BATHGATE AVENUE,10458,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2038700,New York,40.85663542,-73.89013512,1014641.84111,251391.982174
08/19/2015,158050,408871,"{'type': 'Point', 'coordinates': [-74.08885093710383, 40.57237893874682]}",3,0,OffsetFromCurb,Alive,Good,Quercus bicolor,swamp white oak,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1041 FR CAPODANNO BOULEVARD,10306,Staten Island,502,5,Staten Island,50,64,24,SI45,New Dorp-Midland Beach,5011202,New York,40.57237894,-74.08885094,959566.181574,147822.051847
08/15/2015,147397,226188,"{'type': 'Point', 'coordinates': [-73.9531414319802, 40.67441562628087]}",5,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,716 PROSPECT PLACE,11216,Brooklyn,308,3,Brooklyn,36,57,25,BK61,Crown Heights North,3022100,New York,40.67441563,-73.95314143,997247.968087,184987.68224
08/29/2015,184563,505136,"{'type': 'Point', 'coordinates': [-73.89566027346673, 40.84744347968359]}",13,0,OnCurb,Alive,Good,Acer rubrum,red maple,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,4226 3 AVENUE,10457,Bronx,206,2,Bronx,15,86,33,BX17,East Tremont,2037504,New York,40.84744348,-73.89566027,1013117.41305,248041.143075
08/19/2015,159658,216819,"{'type': 'Point', 'coordinates': [-73.94425848829616, 40.70378287332874]}",8,0,OnCurb,Alive,Good,Magnolia grandiflora,southern magnolia,1or2,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,50 MANHATTAN AVENUE,11206,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3049100,New York,40.70378287,-73.94425849,999705.174458,195688.469893
08/25/2015,173394,217252,"{'type': 'Point', 'coordinates': [-73.95201546475371, 40.70744575297773]}",4,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,355 HEWES STREET,11211,Brooklyn,301,3,Brooklyn,34,53,18,BK73,North Side-South Side,3052700,New York,40.70744575,-73.95201546,997553.705008,197021.693277
08/29/2015,185008,504459,"{'type': 'Point', 'coordinates': [-73.89424406390512, 40.85912362110134]}",2,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,371 EAST 187 STREET,10458,Bronx,205,2,Bronx,15,86,33,BX40,Fordham South,2038302,New York,40.85912362,-73.89424406,1013504.09437,252297.13161
08/26/2015,176563,230970,"{'type': 'Point', 'coordinates': [-73.95912524502857, 40.65364722793121]}",2,0,OnCurb,Alive,Fair,Quercus bicolor,swamp white oak,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1 LENOX ROAD,11226,Brooklyn,314,3,Brooklyn,40,43,21,BK60,Prospect Lefferts Gardens-Wingate,3079602,New York,40.65364723,-73.95912524,995591.665625,177420.340091
08/24/2015,170024,100449,"{'type': 'Point', 'coordinates': [-74.0123523488884, 40.71011368390399]}",3,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,124 LIBERTY STREET,10048,New York,101,1,Manhattan,1,65,26,MN25,Battery Park City-Lower Manhattan,1001300,New York,40.71011368,-74.01235235,980825.450079,197990.298623
08/29/2015,186382,505284,"{'type': 'Point', 'coordinates': [-73.89261604631696, 40.84948750294595]}",3,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,2080 LA FONTAINE AVENUE,10457,Bronx,206,2,Bronx,15,86,33,BX17,East Tremont,2037504,New York,40.8494875,-73.89261605,1013958.73847,248786.875507
08/25/2015,175704,105612,"{'type': 'Point', 'coordinates': [-73.98052056032301, 40.74791179387195]}",4,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,3or4,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,23 PARK AVENUE,10016,New York,106,1,Manhattan,4,73,28,MN20,Murray Hill-Kips Bay,1008000,New York,40.74791179,-73.98052056,989647.393393,211761.686106
08/29/2015,185163,339797,"{'type': 'Point', 'coordinates': [-73.79683634195773, 40.59061303700894]}",4,0,OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,3or4,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,306 BEACH 68 STREET,11692,Arverne,414,4,Queens,31,31,15,QN12,Hammels-Arverne-Edgemere,4095400,New York,40.59061304,-73.79683634,1040675.76673,154518.104728
