tree_id,spc_common,health,zipcode,status,latitude,longitude
189593,ginkgo,Good,11215,Alive,40.67179945,-73.97521359
200590,ginkgo,Good,11365,Alive,40.73275126,-73.78793925
200604,honeylocust,Good,11355,Alive,40.75395021,-73.83485946
180266,honeylocust,Good,10023,Alive,40.77033272,-73.98369364
206337,American linden,Good,11201,Alive,40.68584614,-73.99547033
206338,American linden,Good,11201,Alive,40.68581011,-73.99536155
190393,honeylocust,Good,10021,Alive,40.76955939,-73.95993924
201558,honeylocust,Good,10002,Alive,40.72173136,-73.98958224
205787,ginkgo,Fair,10023,Alive,40.78010688,-73.98322688
205970,ginkgo,Good,11370,Alive,40.7681009,-73.89434096
179537,red maple,Fair,11358,Alive,40.76280482,-73.78633372
179476,pin oak,Good,11215,Alive,40.66826409,-73.98079837
189590,ginkgo,Fair,11215,Alive,40.67201868,-73.97503084
191351,honeylocust,Good,11375,Alive,40.71171868,-73.85446422
208767,honeylocust,Good,10065,Alive,40.76332189,-73.96121439
205734,honeylocust,Good,10023,Alive,40.78061205,-73.98564087
201486,honeylocust,Good,11694,Alive,40.57619607,-73.85018599
203326,honeylocust,Good,11372,Alive,40.74996589,-73.88713449
179994,honeylocust,Good,11222,Alive,40.72549844,-73.94980363
178583,American linden,Good,11421,Alive,40.68844787,-73.86658672
187232,ginkgo,Good,11217,Alive,40.68591967,-73.97626031
179887,American linden,Good,11222,Alive,40.72856769,-73.95177312
200381,honeylocust,Good,10314,Alive,40.59666002,-74.16220431
198290,honeylocust,Good,11354,Alive,40.76980427,-73.82714606
190087,honeylocust,Good,11106,Alive,40.7631618,-73.92810436
190421,honeylocust,Good,10023,Alive,40.77000454,-73.98485279
181446,ginkgo,Good,11235,Alive,40.57887248,-73.94378432
199062,crab apple,Good,10023,Alive,40.77038983,-73.98213047
200398,honeylocust,Good,10314,Alive,40.59784149,-74.16242863
179942,American linden,Good,11222,Alive,40.72262725,-73.94879371
189351,honeylocust,Good,11215,Alive,40.67099868,-73.97620526
